name,year,population,proportion_urban,water_basic,water_limited,water_unimproved,water_surface
Afghanistan,2000,20093755.859375,22.077999114990234,27.77189682948133,3.579957035064287,43.40060258504392,25.24754355041046
Afghanistan,2017,35530082.03125,25.25,67.06462342052144,3.174044527581173,18.88395236858819,10.87737968330919
Albania,2000,3121969.970703125,41.74100112915039,87.866618353128,8.986579079300347,2.000665726729152,1.146136840842503
Albania,2017,2930187.01171875,59.382999420166016,91.03922766761912,5.125204749354635,3.835567583026241,0.0
Algeria,2000,31183660.15625,59.91899871826172,89.83725906622034,5.504814318152405,4.197197589245366,0.4607290263818804
Algeria,2017,41318140.625,72.052001953125,93.55588814364998,5.139876891767575,1.113941437620734,0.1902935269617152
American Samoa,2000,57520.99990844727,88.58699798583984,98.45908936922238,0.0,1.540910630777617,0.0
American Samoa,2017,55640.99884033203,87.16999816894531,99.77377165851006,0.0,0.2262283414899429,0.0
Andorra,2000,65389.99938964844,92.3949966430664,100.0,0.0,0.0,0.0
Andorra,2017,76964.99633789062,88.1500015258789,99.99999628269592,0.0,3.71730408233e-06,0.0
Angola,2000,16440923.828125,50.08700180053711,41.14430913214169,21.08770276285724,9.072295320180883,28.69569278482019
Angola,2017,29784193.359375,64.83899688720703,55.84290487224141,9.975664973180534,18.79514148881539,15.38628866576266
Anguilla,2000,11069.99969482422,100.0,96.16923076923075,0.0,3.830769230769249,0.0
Anguilla,2017,14909.00039672852,100.0,97.48227424749163,0.0,2.517725752508369,0.0
Antigua and Barbuda,2000,83583.99963378906,32.12699890136719,98.25376517231649,0.0,1.651768713592821,0.0944661140906875
Antigua and Barbuda,2017,102012.0010375977,24.71299934387207,96.73918627627089,0.0,3.166347609638427,0.0944661140906875
Argentina,2000,37057453.125,89.14199829101562,96.21301622580154,0.0,2.64026385534167,1.146719918856791
Argentina,2017,44271039.0625,91.7490005493164,,,,
Armenia,2000,3069587.890625,64.66600036621094,95.13350782096853,2.100369396736036,2.551829149510573,0.2142936327848701
Armenia,2017,2930449.951171875,63.10300064086914,99.9133765368804,0.0,0.086623463119595,0.0
Aruba,2000,90852.99682617188,46.71699905395508,94.48880635550807,0.0,5.419576603722343,0.0916170407695827
Aruba,2017,105263.9999389648,43.292999267578125,,,,
Australia,2000,19065837.890625,84.23500061035156,99.71229447549432,0.0,0.2246455265073801,0.0630599979983022
Australia,2017,24450560.546875,85.90399932861328,99.96993559668037,0.0,0.0300644033196278,0.0
Austria,2000,8069275.87890625,60.21300506591797,100.000003025558,0.0,0.0,0.0
Austria,2017,8735453.125,58.09400177001953,100.0,0.0,0.0,0.0
Azerbaijan,2000,8122741.2109375,51.38600540161133,73.38049943162012,8.486103550070629,7.779233708478342,10.3541633098309
Azerbaijan,2017,9827588.8671875,55.34299850463867,91.3857399436573,2.744424739967337,4.897886750832441,0.9719485655429091
Bahamas,2000,297890.0146484375,82.00700378417969,98.2454956108156,0.0,1.754504389184405,0.0
Bahamas,2017,395360.9924316406,82.92500305175781,98.88696049734048,0.0,1.113039502659518,0.0
Bahrain,2000,664614.013671875,88.37200164794922,99.8979443202155,0.0,0.1020556797844989,0.0
Bahrain,2017,1492583.984375,89.18599700927734,100.0,0.0,0.0,0.0
Bangladesh,2000,131581250.0,23.59000015258789,95.21504357757289,0.7090323835132463,1.74161256479286,2.334311474121008
Bangladesh,2017,164669750.0,35.858001708984375,97.01600557090647,1.543845245168557,0.5077935641828129,0.9323556197421687
Barbados,2000,269846.9848632813,33.82699966430664,98.32442345862826,0.2670843947748693,1.408492146596871,0.0
Barbados,2017,285718.994140625,31.159000396728516,98.49444758072573,0.2675462412637728,1.238006178010494,0.0
Belarus,2000,9933609.375,69.9729995727539,99.29858263275192,0.1494811162092793,0.5519362510388106,0.0
Belarus,2017,9468337.890625,78.13400268554688,96.48397118806506,3.330060845803305,0.185967966131642,0.0
Belgium,2000,10282033.203125,97.12899780273438,100.0000011872196,0.0,0.0,0.0
Belgium,2017,11429335.9375,97.96099853515625,100.0000033376368,0.0,0.0,0.0
Belize,2000,247315.0024414063,45.39799880981445,87.43148754818233,1.086299017741041,8.399950198839052,3.082263235237589
Belize,2017,374680.9997558594,45.60100173950195,97.99257978721742,1.242715658901371,0.7647045538811836,0.0
Benin,2000,6865951.171875,38.33300018310547,61.45970108833315,6.260098093203644,20.45422581215642,11.82597500630679
Benin,2017,11175692.3828125,46.768001556396484,66.41472533812718,9.998997604131889,19.80398460351786,3.782292454223067
Bermuda,2000,64027.99987792969,100.0,99.99414290503832,0.0,0.0058570949616836,0.0
Bermuda,2017,61348.9990234375,100.0,99.90314001706358,0.0,0.0968599829364223,0.0
Bhutan,2000,573416.015625,25.418001174926758,82.7364260885696,1.052824186017428,6.169646779124487,10.04110294628848
Bhutan,2017,807609.9853515625,40.16699981689453,97.23338333524819,2.501054694529499,0.2409592096741809,0.0246027605481411
Bolivia (Plurinational State of),2000,8339511.71875,61.7869987487793,79.47904392208285,0.4042177646092115,7.241758614071626,12.87497969923631
Bolivia (Plurinational State of),2017,11051599.609375,69.08000183105469,92.84873517930254,0.0823497121956858,1.595636602800517,5.473278505701267
Bosnia and Herzegovina,2000,3766706.0546875,42.38399887084961,97.26969979289183,1.129292576692443,1.377894719069764,0.223112911345958
Bosnia and Herzegovina,2017,3507017.08984375,47.875999450683594,96.14235608502128,3.796662628357256,0.0609812866214554,0.0
Botswana,2000,1728339.965820313,53.21900177001953,75.19896544395003,20.48509164732134,1.548512078525723,2.767430830202907
