Month/Year,Tmax (oC),Tmin (oC),AirFrost (Days),Rain (mm),Sun (Hours),Notes
Jul/1967,17.5,11.20,0.00,77.60,124.50
Aug/1967,18.4,11.30,0.00,69.10,147.80
Sep/1967,16.5,9.80,0.00,108.70,101.10
Oct/1967,11.9,6.70,0.00,256.90,111.80
Nov/1967,8.3,3.30,0.00,82.00,46.70
Dec/1967,7.1,2.60,11.00,59.00,64.60
Jan/1968,6.5,2.20,10.00,89.30,38.80
Feb/1968,4.2,-0.80,16.00,69.30,56.60
Mar/1968,9.3,3.00,1.00,126.40,103.90
Apr/1968,12.3,4.10,4.00,53.70,157.10
May/1968,13.3,5.50,0.00,123.80,137.00
Jun/1968,19.3,10.10,0.00,27.60,202.20
Jul/1968,18.2,11.00,0.00,82.40,98.70
Aug/1968,19.1,11.20,0.00,69.60,156.40
Sep/1968,16,9.60,0.00,140.40,87.40
Oct/1968,13.5,8.90,0.00,161.90,64.00
Nov/1968,7.9,3.10,7.00,92.80,33.30
Dec/1968,5.8,1.00,13.00,46.40,22.10
Jan/1969,6.8,2.80,4.00,103.00,25.00
Feb/1969,4.1,-1.10,15.00,41.50,55.80
Mar/1969,6,0.00,14.00,20.00,68.70
Apr/1969,11.8,3.10,2.00,39.50,150.70
May/1969,14.2,6.60,0.00,112.30,121.30
Jun/1969,18.6,9.60,0.00,70.90,199.70
Jul/1969,19.5,11.80,0.00,54.10,161.20
Aug/1969,20.1,12.30,0.00,57.60,169.60
Sep/1969,16.2,10.00,0.00,72.90,108.80
Oct/1969,14.9,9.70,0.00,61.80,71.20
Nov/1969,6.6,0.90,13.00,146.00,44.30
Dec/1969,5.7,1.00,11.00,102.50,26.40
Jan/1970,5.5,0.90,9.00,100.10,23.60
Feb/1970,5.7,-0.90,15.00,114.20,109.40
Mar/1970,8.5,1.20,9.00,48.40,135.10
Apr/1970,10.8,2.70,5.00,83.90,123.90
May/1970,15.5,8.20,0.00,37.80,110.90
Jun/1970,20.1,11.10,0.00,56.30,188.20
Jul/1970,17.1,10.20,0.00,69.30,108.50
Aug/1970,19.6,11.70,0.00,89.70,142.70
Sep/1970,15.8,9.80,0.00,129.20,80.00
Oct/1970,12.3,6.90,0.00,151.50,76.70
Nov/1970,8.6,4.00,1.00,166.30,37.60
Dec/1970,7,2.60,6.00,65.50,39.10
Jan/1971,6.6,2.60,8.00,100.10,22.70
Feb/1971,7.7,3.30,4.00,105.80,44.30
Mar/1971,9.3,2.50,6.00,39.90,78.20
Apr/1971,12.4,4.20,0.00,38.00,132.70
May/1971,15.4,7.40,0.00,48.90,198.10
Jun/1971,16.1,8.70,0.00,31.10,164.10
Jul/1971,19.8,11.60,0.00,94.10,194.80
Aug/1971,17.9,11.60,0.00,98.50,97.80
Sep/1971,17.8,10.20,0.00,24.70,125.50
Oct/1971,14,7.70,2.00,137.30,84.50
Nov/1971,9.1,3.70,6.00,78.60,48.20
Dec/1971,9.6,5.60,1.00,90.50,14.50
Jan/1972,6.1,2.30,5.00,105.90,25.20
Feb/1972,6.8,2.10,3.00,56.10,35.30
Mar/1972,9.2,2.70,1.00,47.50,80.30
Apr/1972,12.9,5.20,0.00,122.10,138.20
May/1972,14.6,7.40,0.00,122.20,113.10
Jun/1972,15.5,8.10,0.00,103.10,170.80
Jul/1972,19.7,11.50,0.00,45.90,175.90
Aug/1972,18.3,10.60,0.00,48.60,155.40
Sep/1972,16.5,7.80,0.00,11.40,140.80
Oct/1972,14,6.80,0.00,32.90,82.00
Nov/1972,8.4,2.60,8.00,134.30,55.70
Dec/1972,8.1,3.10,4.00,128.10,16.10
Jan/1973,6.6,3.00,4.00,111.30,14.90
Feb/1973,6.9,1.30,11.00,80.20,69.60
Mar/1973,10.3,3.40,4.00,53.20,110.80
Apr/1973,11.7,3.20,4.00,65.50,160.90
May/1973,14.2,6.60,0.00,77.40,128.90
Jun/1973,18.4,10.00,0.00,63.60,157.10
Jul/1973,20,11.80,0.00,66.70,159.50
Aug/1973,18.7,11.80,0.00,65.60,133.60
Sep/1973,16.5,9.80,0.00,68.50,107.10
Oct/1973,12.3,5.90,1.00,46.00,86.00
Nov/1973,8.2,2.70,7.00,119.10,57.90
Dec/1973,6.8,1.60,9.00,143.50,30.70
Jan/1974,8.3,3.70,1.00,218.80,24.70
Feb/1974,8,3.20,1.00,65.00,46.30
Mar/1974,8.3,2.70,3.00,50.50,72.30
Apr/1974,14.1,4.20,0.00,4.80,175.90
May/1974,15.3,7.50,0.00,51.00,175.00
Jun/1974,18.3,9.70,0.00,36.80,226.50
Jul/1974,17.2,11.10,0.00,68.90,156.90
Aug/1974,18.4,11.30,0.00,73.50,149.20
Sep/1974,14.3,8.40,1.00,120.00,108.50
Oct/1974,11.3,5.00,0.00,35.00,96.90
Nov/1974,8.4,3.40,4.00,148.40,44.60
Dec/1974,9.1,4.70,1.00,181.10,29.90
Jan/1975,8.1,2.90,4.00,232.80,14.10
Feb/1975,6.9,2.20,6.00,58.90,55.10
Mar/1975,8.6,1.70,4.00,37.10,112.90
Apr/1975,11.9,5.20,1.00,64.20,124.60
May/1975,15,5.50,0.00,18.40,250.60
Jun/1975,19.3,9.80,0.00,53.30,230.10
Jul/1975,19.8,12.60,0.00,52.70,159.30
Aug/1975,21.7,13.80,0.00,44.00,159.80
Sep/1975,15.3,8.50,0.00,190.70,108.30
Oct/1975,12.8,7.50,0.00,107.60,54.20
Nov/1975,8.9,3.10,5.00,121.40,53.20
Dec/1975,8.7,3.70,4.00,43.70,43.10
Jan/1976,7.9,3.10,3.00,131.70,39.10
Feb/1976,7.4,2.90,2.00,74.60,29.70
Mar/1976,7.9,1.80,6.00,118.00,78.70
Apr/1976,12.1,5.10,0.00,63.20,115.30
May/1976,14.3,7.70,0.00,126.90,129.50
Jun/1976,19,11.50,0.00,38.20,162.60
Jul/1976,21.7,13.40,0.00,42.30,201.00
Aug/1976,22.1,11.50,0.00,9.00,208.70
Sep/1976,16,10.10,0.00,74.80,98.90
Oct/1976,12.5,7.20,0.00,123.20,69.60
Nov/1976,8.6,3.20,6.00,123.60,50.60
Dec/1976,3.8,-0.70,14.00,81.30,51.30
Jan/1977,4.8,-0.20,15.00,81.40,52.40
Feb/1977,6,1.00,10.00,128.80,63.10
Mar/1977,9.5,3.60,3.00,122.90,69.20
Apr/1977,10.5,3.90,3.00,84.50,144.70
May/1977,15.4,6.20,0.00,50.00,209.70
Jun/1977,18.2,9.10,0.00,38.70,209.30
Jul/1977,21.1,12.10,0.00,48.30,206.70
Aug/1977,19,11.40,0.00,85.90,174.90
Sep/1977,15.3,9.30,0.00,160.20,98.10
Oct/1977,14,8.90,0.00,178.70,77.10
Nov/1977,7.4,2.50,6.00,156.10,57.90
Dec/1977,7.5,3.70,3.00,64.70,27.80
Jan/1978,5.3,0.20,14.00,121.40,46.20
Feb/1978,4.8,-0.90,15.00,77.50,73.50
Mar/1978,9.2,3.40,1.00,149.20,89.50
Apr/1978,9.8,3.70,3.00,31.10,86.70
May/1978,17.2,7.80,0.00,7.00,201.80
Jun/1978,18.3,9.80,0.00,84.70,185.30
Jul/1978,18.2,10.70,0.00,72.20,171.70
Aug/1978,17.6,11.70,0.00,106.40,87.70
Sep/1978,15.8,10.70,0.00,165.80,78.70
Oct/1978,14.1,9.20,0.00,47.00,83.40
Nov/1978,10.4,5.50,3.00,200.00,44.20
Dec/1978,5.4,1.50,8.00,99.60,15.90
Jan/1979,3.3,-2.60,24.00,96.70,44.90
Feb/1979,4.3,-1.20,16.00,14.90,72.60
Mar/1979,6.9,0.90,9.00,157.30,96.50
Apr/1979,10.7,3.80,2.00,64.80,123.60
May/1979,13.4,5.30,0.00,43.00,183.50
Jun/1979,17.9,10.40,0.00,77.10,175.10
Jul/1979,17.8,11.50,0.00,39.70,107.90
Aug/1979,17.8,10.40,0.00,134.20,147.40
Sep/1979,15.6,9.10,0.00,77.60,133.60
Oct/1979,13.2,7.70,0.00,150.00,56.00
Nov/1979,8.7,3.00,7.00,205.40,34.10
Dec/1979,6.7,2.10,9.00,177.40,38.30
Jan/1980,4.4,-0.10,12.00,69.80,31.50
Feb/1980,7,2.80,4.00,73.30,20.80
Mar/1980,7.3,1.70,8.00,74.40,80.30
Apr/1980,13.8,5.30,0.00,7.90,177.30
May/1980,17.6,6.80,0.00,22.00,250.70
Jun/1980,16.9,9.90,0.00,74.60,120.00
Jul/1980,17.8,10.60,0.00,112.30,113.90
Aug/1980,18,11.30,0.00,129.60,102.70
Sep/1980,16.3,10.80,0.00,129.00,75.90
Oct/1980,11,5.40,1.00,137.30,84.20
Nov/1980,8.8,3.80,6.00,142.90,45.00
Dec/1980,8.1,2.90,5.00,185.30,24.40
Jan/1981,7.3,1.80,12.00,89.20,35.10
Feb/1981,6.5,0.70,14.00,90.40,75.00
Mar/1981,9.6,3.20,3.00,150.20,75.50
Apr/1981,12.9,4.20,2.00,13.80,191.20
May/1981,15.5,7.50,0.00,125.90,124.40
Jun/1981,16.8,9.80,0.00,78.10,141.40
Jul/1981,18.1,11.50,0.00,82.60,144.60
Aug/1981,19.3,11.90,0.00,16.40,166.30
Sep/1981,16.8,10.10,0.00,246.80,107.10
Oct/1981,10.5,3.50,4.00,164.90,100.70
Nov/1981,10.1,4.60,0.00,148.00,43.70
Dec/1981,2.2,-3.50,21.00,30.20,29.70
Jan/1982,5.1,-0.30,10.00,118.00,30.80
Feb/1982,8,2.80,4.00,96.40,52.70
Mar/1982,9.7,2.30,2.00,153.20,113.50
Apr/1982,13.4,5.30,0.00,32.60,158.40
May/1982,15.9,6.50,1.00,81.90,197.20
Jun/1982,17.9,10.70,0.00,68.50,133.90
Jul/1982,21.3,12.40,0.00,15.70,189.20
Aug/1982,18.1,11.90,0.00,125.80,126.40
Sep/1982,15.8,9.60,0.00,160.90,104.60
Oct/1982,12.9,7.30,0.00,152.60,62.60
Nov/1982,9.3,3.90,4.00,183.50,33.40
Dec/1982,6.7,1.30,12.00,153.60,32.10
Jan/1983,8.3,3.30,1.00,205.40,24.80
Feb/1983,5.2,-0.40,15.00,47.50,60.50
Mar/1983,9.1,3.90,2.00,99.50,60.40
Apr/1983,10.5,2.90,4.00,37.40,120.50
May/1983,13.5,7.00,0.00,107.50,90.20
Jun/1983,17.1,9.70,0.00,57.60,147.70
Jul/1983,21.9,13.30,0.00,28.00,172.30
Aug/1983,21.4,12.60,0.00,34.10,173.80
Sep/1983,15.2,9.20,0.00,153.20,79.20
Oct/1983,12.3,6.80,2.00,236.20,58.30
Nov/1983,10.1,4.80,6.00,19.10,48.00
Dec/1983,8.8,3.60,3.00,148.10,28.40
Jan/1984,4.8,-0.30,12.00,192.70,31.50
Feb/1984,6.6,2.20,5.00,87.20,47.80
Mar/1984,8.2,2.80,3.00,53.00,60.00
Apr/1984,13.7,4.50,2.00,19.40,167.00
May/1984,16.8,6.80,0.00,17.40,219.40
Jun/1984,18.3,10.80,0.00,36.50,144.60
Jul/1984,22.1,12.20,0.00,12.40,219.20
Aug/1984,21.5,12.60,0.00,29.00,165.30
Sep/1984,15.4,9.40,0.00,129.70,85.00
Oct/1984,12.8,7.20,0.00,201.60,77.90
Nov/1984,9.3,4.90,3.00,191.50,35.70
Dec/1984,7.7,3.10,5.00,132.70,24.10
Jan/1985,3.8,-1.20,21.00,53.00,49.40
Feb/1985,6.2,0.20,11.00,31.30,69.30
Mar/1985,8,1.70,8.00,81.30,115.30
Apr/1985,11.9,4.70,0.00,61.50,120.90
May/1985,15.3,7.30,0.00,56.10,157.70
Jun/1985,16.6,8.90,0.00,69.50,166.30
Jul/1985,18,11.80,0.00,165.00,94.20
Aug/1985,16.8,10.70,0.00,185.70,110.70
Sep/1985,15.3,9.80,0.00,288.20,75.30
Oct/1985,13.3,7.40,0.00,54.80,89.60
Nov/1985,6.8,0.30,17.00,115.00,53.70
Dec/1985,7.5,3.10,6.00,178.20,25.80
